color,чёрный,красный,персиковый,сиреневый,горчичный,коричневый,белый,оливкого-зелёный,серый,медный,голубой,фиолетовый,синий,салатовый,желтый,сине-зеленый,бежевый,-
чёрный,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
красный,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1
персиковый,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
сиреневый,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
горчичный,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1
коричневый,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1
белый,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
оливкого-зелёный,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
серый,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1
медный,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1
голубой,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
фиолетовый,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1
синий,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1
салатовый,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1
желтый,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
сине-зеленый,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
бежевый,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
