index,title,id_emotion,rating_emotion,emotion,genres,rating
0,Тетрадь смерти,17,7.7,Атмосферный,Триллер,7.6
0,Тетрадь смерти,17,7.7,Атмосферный,Детектив,7.6
0,Тетрадь смерти,17,7.7,Атмосферный,Фэнтези,7.6
0,Тетрадь смерти,12,7.4,Умный,Триллер,7.6
0,Тетрадь смерти,12,7.4,Умный,Детектив,7.6
0,Тетрадь смерти,12,7.4,Умный,Фэнтези,7.6
0,Тетрадь смерти,11,7.0,Волнительный,Триллер,7.6
0,Тетрадь смерти,11,7.0,Волнительный,Детектив,7.6
0,Тетрадь смерти,11,7.0,Волнительный,Фэнтези,7.6
1,Красота по-американски,9,7.6,Трогательный,Драма,8.3
1,Красота по-американски,11,7.1,Волнительный,Драма,8.3
1,Красота по-американски,17,6.6,Атмосферный,Драма,8.3
2,Смертный приговор,11,7.9,Волнительный,Драма,6.7
2,Смертный приговор,11,7.9,Волнительный,Боевик,6.7
2,Смертный приговор,11,7.9,Волнительный,Триллер,6.7
2,Смертный приговор,11,7.9,Волнительный,Криминал,6.7
2,Смертный приговор,9,7.2,Трогательный,Драма,6.7
2,Смертный приговор,9,7.2,Трогательный,Боевик,6.7
2,Смертный приговор,9,7.2,Трогательный,Триллер,6.7
2,Смертный приговор,9,7.2,Трогательный,Криминал,6.7
2,Смертный приговор,17,6.9,Атмосферный,Драма,6.7
2,Смертный приговор,17,6.9,Атмосферный,Боевик,6.7
2,Смертный приговор,17,6.9,Атмосферный,Триллер,6.7
2,Смертный приговор,17,6.9,Атмосферный,Криминал,6.7
3,Трасса 60,10,7.1,Вдохновляющий,Комедия,7.7
3,Трасса 60,10,7.1,Вдохновляющий,Приключения,7.7
3,Трасса 60,10,7.1,Вдохновляющий,Фэнтези,7.7
3,Трасса 60,11,6.6,Волнительный,Комедия,7.7
3,Трасса 60,11,6.6,Волнительный,Приключения,7.7
3,Трасса 60,11,6.6,Волнительный,Фэнтези,7.7
3,Трасса 60,14,6.3,Странный,Комедия,7.7
3,Трасса 60,14,6.3,Странный,Приключения,7.7
3,Трасса 60,14,6.3,Странный,Фэнтези,7.7
4,Солнцестояние,11,6.8,Волнительный,Драма,7.1
4,Солнцестояние,11,6.8,Волнительный,Ужасы,7.1
4,Солнцестояние,11,6.8,Волнительный,Детектив,7.1
4,Солнцестояние,17,6.3,Атмосферный,Драма,7.1
4,Солнцестояние,17,6.3,Атмосферный,Ужасы,7.1
4,Солнцестояние,17,6.3,Атмосферный,Детектив,7.1
4,Солнцестояние,7,5.6,Романтичный,Драма,7.1
4,Солнцестояние,7,5.6,Романтичный,Ужасы,7.1
4,Солнцестояние,7,5.6,Романтичный,Детектив,7.1
5,Паразит: Часть 1,14,7.3,Странный,Ужасы,6.9
5,Паразит: Часть 1,14,7.3,Странный,Фантастика,6.9
5,Паразит: Часть 1,11,6.9,Волнительный,Ужасы,6.9
5,Паразит: Часть 1,11,6.9,Волнительный,Фантастика,6.9
5,Паразит: Часть 1,9,6.2,Трогательный,Ужасы,6.9
5,Паразит: Часть 1,9,6.2,Трогательный,Фантастика,6.9
6,1917,10,7.5,Вдохновляющий,Драма,8.3
6,1917,10,7.5,Вдохновляющий,Боевик,8.3
